,userName,content,score
15,Evelyn Esthelli,"Gamenya bagus dan seru,world nya juga bagus.cuma buat player baru yang masih baru main itu bakal susah buat ngejar story' atau quest nya sama teleport waypoint nya susah,kalau mau ke negara yang lain itu harus AR yang cukup tinggi mengkanya kalau pemain baru rada susah apalagi storynya update terus,ada yang baru sampai akhirnya para pemain baru ketinggalan.itu kekurangannya.sama kelebihannya game ini cocok buat yang suka game dengan pemandangan yg indah dan berpetualang karena dunianya luas dll.",4
16,Sahri Ullya,"Game nya sudah oke mau dari segi grafik,story,karakter-karakternya semua udh bagus tapi yang minusnya bagi user handphone seperti saya game nya sering patah-patah,ngelag atau semacamnya. Jadi tolong pihak hoyoverse untuk tingkatkan kualitas gameplay untuk user handphone",4
17,Melinda Mustarii,Bagus sih kalo data nya malah lama tapi gapapa ini bagus aja untuk dapat teman baru di dalam co op. Dan sekian nya terima kasih untuk genshin impact nya dan gw milih lumine/traveller dan grafiknya bagus sih agak lumayan tapi mohon gw gak bisa layar yang rusak sama wi fi nya,5
18,Aditia Akday,"Kepada deplover Genshin Impact, untuk Overall gamenya seru. Saya hanya ingin satu untuk fix yaitu masalah mulai waktu muncul atau respawn musuh di spiral itu lama sekitar 4 atau 5 detik sehingga efisien untuk 3 full star jadi terhambat krn itu. Mungkin kinerja pc dgn Android berbeda jadi kendala waktu tsb ada di Android",4
19,Fatih Tri agung (PATEH),"Game yang sangat bagus ya guys.... Tapi perlu diketahui jika game ini SANGAT PELIT!!!, pelit dalam hal gacha karakter sih tidak terlalu masalah, akan tetapi pelitnya dalam hal mendapatkan item artefact itu sangat menggaggu dan lagi kita harus menunggu resin (bahan untuk mencari item) terisi penuh. Dan itu sangat lama... Tapi meskipun begitu saya tetap suka dengan game ini. Yahhh saya kasih bintang 5 dengan harapan pihak genshin impact mau memberi saya item yg bagus di tengah KEPELITAN mereka.",5
20,Divtagemtri Olvanimtra,"Bagus dari segi grafik nya.. Saran buat player yg mau donlaud: Kalau mau donlaud game ini mending liat memori sm Ram dulu deh, GEDE BUANGET masalahnya, di PC aja bisa 72GB, di Android bisa 40GB (Buat player lama/Quest kelar) udah sih, segini aja, Dan boleh gak kasih Quest Monstadt lagi..? Kangennn Venti",5
21,Flokira,"Game ini bagus tetapi ada masalah untuk saya saat di archon quest inazuma,saat kita menyelamatkan tuan masakatsu, saya tidak bisa memainkannya, setelah mengobrol bersama yoimiya itu layarnya item semua dan theme songnya juga berjalan juga ketika saya keluar dari gamenya, tolong diperbaiki ya🙏... Kalo itu tidak masalah sih saya kasih bintang lima hehe, overall sih game ini bagus untuk yang suka game open world RPG",4
22,Rio,"Dari segi gamplay bagus, story nya bagus, grafik nya juga bagus, cuman ukuran dari game nya aja yg sangat tidak ramah semoga depoleper nya bisa memperbaiki hal ini... Terima kasih karena jika ukuran game ini lebih kecil pasti akan lebih baik dan banya yg memainkan nya.",4
23,ella,"setelah cukup lama main genshin baru sadar kalau alur cerita nya itu terasa lama, kaya harus nunggu versi terbaru baru muncul quest archon? kaya itu lama banget, untuk hadiah primogem juga bisa di bilang sedikit ya, dan kalau bisa harga welkin di kurangin hehe mksh 😁",3
24,It's Me Wanzz,"Jujur bagi saya game ini adalah game yang bagus. Seru dimainkan, dan adventurenya sangat berasa. Ada juga beberapa part part yang disertai pilihan alur yang lucu, Dan kesulitan mapnya berbeda beda 1 yang membuat saya sedih adalah memorinya. Dulu main di mobile bisa menggunakan grafik tertinggi, Dan tidak patah patah karena tidak memakan banyak memori. Tapi semakin kesini memori genshin semakin berat. Apakah bisa menurunkan memori internalnya?",1
25,Asriady Marhumong,"Dari segi grafik, ini paling bagus, emang nguras memori tapi sepadan lah wkwk, gua suka style nya, karakternya, gamenya juga ga ngebosenin lah, bisa nge explore, pertarungan, bisa coop terus populer lagi! Pantes dapet penghargaan, pokoknya ily, genshin impact, terus saya disini mengharapkan hadiah anniversary ke 3, semoga bagus bagus yaa.",5
26,indah putri chania,"Game nya bagus dengan grafik yang memuaskan mata Dan walaupun explore udah 100% ga membosankan buat di mainin lagii Cuma ada satu hal yg kurang, semoga mihoyo nambahin fitur kayak di hsr yang setiap update, nanti otomatis ngehapus data yg ga berguna jadinya ukurannya tetap sama walaupun update nya sekitar6-7gb Jadi kita sbg player ga kekurangan penyimpanan",5
27,Dhirta Adhyatma,"Gamenya bagus sih. Grafik OK, storyline OK, tapi untuk player end game sudah bikin jenuh. Main cuma daily doank sama ngabisin resin. Habis itu logout. Tambahin system trade/jual beli donk antar player baik senjata, artefak, dll. 1 lagi yang paling penting, kurang²i obrolan saat Story Quest maupun Archon Quest karena terlalu lama dan bertele-tele. Terimakasih.",3
28,Oji dilan,"Baru pertama kali saya download ini, dari beberapa iklan game ini sangat menarik untuk dimainkan namun disaat saya download...saya kecewa karna tidak cukup ruang terus, padahal saya sudah menghapus semua game dan aplikasi bertotal 7 termasuk game free Fri*, pas mau download itu tidak bisa malah disuruh apus lagi, ram ku 4 masa tidak muat aku download game online 4 itu muat kanapa ini tidak?tolong diperbaiki dan kurangkan data.",3
29,Ramagandi 07,"Tolong dong untuk resin tambahan kapasitas nya saya yang bermain genshin pada saat pulang kerja, resin selalu penuh tidak sempat menukar/memakai nya terlebih dahulu. Masalah data atau penyimpanan yang semakin membesar semoga ada jalan keluarnya untuk membuat genshin menjadi game yang masih bisa di mainkan oleh semua orang. Sama ini event atau Ada anniversary Primo ya kasih sedikit lebih banyak. Semoga di dengar🙏🏼",4
30,10second,"Keren game nya,. Cuma susah dapet charakter banner,. Sekali even selesai harus nunggu lama banget untuk dapetinnya lgi,. Kenapa gak dibik shop sendiri walaupun harganya 2x lipat dari pada harus nunggu lama banget. Belum lgi klo ada charakter baru.",4
31,Efendi Arifin,"Developer buta feedback, perkembangan dari tahun ke tahun tidak ada perbedaan, gacha weapon paling sulit, konten end game yang biasa aja, farming artefak ampas daripada gacha karakter, developer pemalas dalam mendesain NPC (minimal untuk quest dunia, NPC yang penting/mempengaruhi story didesain sebagai mungkin, bukan copy paste, muak liatnya), quest dunia banyak omong. Developer minim ide karena banyak yg main, gacha dan nyepong, jadi ngapain mikir ide bagus, kalau jelek aja udah laris manis.",1
32,Fathur Rochman,"Keseluruhan oke, tapi saran untuk depelopment nya buatkan fitur auto farming, kebanyakan orang-orang males di farming, cari mentahan item, open map dll, apalagi terus ada map baru, rata-rata kesusahan buat farming di map baru tersebut, mungkin bisa dipertimbangkan untuk dibuatkan auto farming",3
33,Brian Ft gaming,"Game nya bagus bgt , cuman saya saranin jangan di tambahin terus GB nya kasian yang hp nya di bawah ram 8gb ,kalo bisa tmbhinya paling 2 GB an jngn lngsung 4gb ,kalo bisa cukup sampe 40 GB aja jngn di terusin ,cukup sekian terima kasih ,satu lagi ini kok sebelum Ar 46 tuh questnya susah bngt masa cuman 2 menit doang sedangkan musuhnya keras "" tolong dong yang dulu aja ga di menitin",5
34,Ryukiii Rookie,"Game Luar Biasa, ini game mulai sepi, karna makin banyak penyimpanan, andai di bikin versi LITE Yang Hanya Ada Map Sampai Liyue Aja, Jadi yang Hapenya Kentang Bisa nyobaiin, dan saat dia suka, otomatis dia bakalan berusaha untuk membeli device yang cukup memumpuni,.... Sama Mode Co-op, jangan nunggu di Ar 16, karna di awal itu mesti harus di pandu bener2, kalau bisa dari Ar 1 - 5, itu udah bisa co - op, saat udah paham dasarnya baru di ar 16 - 25 baru buka kembali fitur Co - op,",5
35,Diki Darmawan,"Game ini bagus cocok buat hiburan, dan lagi hadiah aniv nya kalau bisa kasih buat 5 kali gacha aja terus setiap player kalau mau gacha di kalahin rate off yg tinggi di atas 80an biar semakin menantang game nya, terus peti"" nya kasih di tempat yg sulit di jangkau, sama tantangan event nya buat dapetin Primo harus susah sesuah"" nya, itu aja sih biar agak tersiksa sedikit",5
36,Farid Muhamad,"Barusan saya update game sebanyak 5 gb, saat update selesai tiba tiba game force close. Setelah saya buka kembali game nya, malah diminta Download ulang 6 gb. Sangat boros kuota, tolong kalo bisa di fix ya tolong di fix. Rugi kuota kalau mesti download ulang",1
37,Marcelll Merahh,"Teruntuk developer game genshin saya telah mencoba game ini ,dan game ini luar biasa bagius dari segi grafik dan gameplay-nya,namun disayangkan dari segi download datanya yang puluhan Gigabyte Bukan karena spek hp kecil tapi internetnya yang tak sejalan dengan lancar saya harus menunggu semalaman lebih untuk datanya",4
38,Risman immank,"Game play, grafik, alur cerita bagus. Hanya saja yang bikin jengkel kalau ada sesi ngobrol nya yang terlalu panjang yang tidak terlalu penting dan buang2 waktu. Kalau bisa masukkan fitur skip ngobrol nya.",4
39,Yumeko,"Keseluruhan dari quest, story, dll.. sudah bagus banget tapi kadang kalo lagi main bareng temen Lag nya parah banget sampe gk bisa gerak bikin kesel banget.",5
40,romadhon prasetyo,"Saran nih kak, untuk update selanjutnya tolong dong di setting di berikan opsi untuk pengaturan kameranya. Dimana kameranya bisa otomatis menghadap ke depan lagi. Ini akan lebih nyaman untuk bermain saat bertarung",5
41,Zheee. Zheee._,"Sejauh ini game mihoyo emg bener"" bagus"" semuaa!! :D btw genshin termasuk game yg paling sering aku mainin dan di genshin juga seru banget primogemsnya lebih byk didapet gt (kec klo udah byk explo sm ar tinggi) gabut dan seret <D oiya mihoyo aku mau ngasih masukan aja, tolong utk sistem gachanya (mau char, wp,dll) itu tolong dipermudah lagi gt misal awalnya pitynya harus 90 jadi 70 gt atau 60 kebawah agar f2p bisa mendapatkan dgn mudah, serta grinding arte ada fitur bisa milih arte yg kita ingin",5
42,Genta Bagas,"Apalah udah capek explore+quest dari awal main ga pernah dapet character B5 dibawah 70X pull,setiap rate off juga ga pernah menang,itupun masih diatas 70X pull,gacha weapon juga sama aja ga pernah sesuai keinginan,overall udah bagus cuma kenapa kok akun gw ampas banget 6X kalah rate off berturut-turut dari awal main udah hampir setahun juga",1
43,Teuku Afrah,"Karena saya masih pemula dan sudah AR 60 full star spiral, saya ingin memberikan saran agar jumlah resin ditambahkan menjadi 200, untuk sekarang dengan map seluas ini rasanya 160 dengan waktu pengisian yang lama masih kurang",5
44,Azumi Mobile,"Fitur baru kalian yang berada dibawah misi harian itu sampah, tidak berguna, buat apa kalian tambahkan fitur bodoh seperti itu? Sudah 3 tahun berlalu tapi game ini masih tetap menyedihkan. Tidak ada guna nya kalian meminta saran pada para player jika game ini tetap tidak berubah.",1
45,Jordan Lim,Jujur banget dari game ini sangat bagus kenapa bisa disebut bagus karena grafic nya op parah no debat dan desain keren banget dan ada senjata op dan karakter yang mantap op parah terus pas gacha event gila gachanya juga mantap banget parah dan sekian terima kasih informasi saya 😁,5
46,AG GAMING,Setiap lagi domain atau lawan monster pasti sinyal muter² ga jelas kalo ga malah mentok di 999+ giliran domain dah selesai atau monster dah mati sinyal pulih kembali jadi bagus tolong perbaiki jadi ga nyaman setiap mo farming artefak atau material,1
47,Satrio,"Pensi aja ukuranya udah over banget, gameplay untuk player lama terlalu monoton, pengembangan main story nya terlalu lama kburu bosen nunggu. Side story nya/ quest makin males buat di jalanin.",2
48,Meywha Kartika,"Bagus banget karakter, story, quest² lainnya. Semua seru sih kalo dibawa santai. Main kali ini santai-santai sih buat ngeksplor Fountaine.",5
49,Didit apriadi,Saya mhn untuk data games bisa di pertimbangkan lgi kemungkinan besar masa depan nantinya map baru pasti banyak yg pensiun yg pemain mobile termasuk saya sendiri jujur sih dri tiap update semakin menguras data 🥲,4
50,Finn,"Tolong buat mihoyo, untuk settingan control buat user Android, IOS atau yang lebih tepatnya settingan control buat Handphone, tolong di adakan karna keseringan saya sebagai user Android sering kali salah tekan akibatnya jarak tombol satu dengan yang lain nya terlalu dekat yang buat saya kurang menikmati game play Genshin saya, Jadi tolong di adakan Settingan Control yang dapat mengubah posisi atau tata letak tombol2 di Game Genshin Impact ini",2
51,Octavia Prita,"Grafitasi nya bagus, pemandangannya bagus, karakternya juga bagus, walau sering mengupdate ulang aku tetep suka game ini!! tidak membuatku bosan, dan menaikkan level terus menerus itu menyenangkan, Terima kasih MIHOYO!!! Selagi ada ghensin ayo dowload dan main bareng!!!!!!!!!!!!!!!!!!!!!! (≡^∇^≡)",5
52,Alwan Kurniawan,"Genshin Impact adalah permainan yang menakjubkan dengan dunia terbuka yang indah dan beragam karakter. Saya terpesona oleh grafiknya yang memukau dan mekanika pertarungan yang seru. Namun, ada beberapa masalah keseimbangan dalam permainan dan pembelian dalam aplikasi yang bisa ditingkatkan.",4
53,MuNa GAMING,"Kok jaringan ku kuning terus, ada solusi Kah agar bisa ijo terus. Dan tolong di buat kan settingan kontrol biar nyaman gitu di saat kita bertarung, kadang suka meleset tep besik attack. Kalau bisa jaringan nya yg pertama di optimalkan, klw udah di perbaiki saya kasi bintang 5",3
54,Naya c5 Cahaya naya,"Game nya bagus gerifak nya bagus dan ada banyak story quest aku sampe gak bisa berhenti main nya tapi sayang sekali sekalinya genshin update bisa memenuhi memori dari mulai 25,5MB dan terus naik aku jadi harus hepus beberapa game kesayangan ku demi update genshin ;(",5
55,Salman Maghfirah,Game bagus grafik baik tapi tolong dong update nya kecil aj inih game jdi gede banget GB nya banyak yg berhenti bukan karna ga mo maen tapi karna hp gak kuat jdi tolong puasin para pemain lah bikin ho kentang juga bisa maen jan GB nya udh gede di bikin trus makin gede kasian kan orng yg mo maen tapi hp gak bisa,5
56,Adamex World,"Saya barusan draw 50x, tapi karakter b5 standar juga gk dapet, pahdalan biasanya dpet yang standar, tolong hadiahnya dikembalikan karna itu seharusnya hak saya setelah 50x draw.",5
57,Sendi hermawan,"Haduhhh.. parah nih, setiap mau gacha banner Psti dapetnya yg lain.. jdi bikin males mainnya😮‍💨.. tolong kalau bisa permudah sedikit biar bisa dapet banner yg player inginkan🙏.., terutama buat yg F2P kasihan mereka yg udah nabung premogen nya lama2 malah dapat yg ga sesuai...please permudah sedikit lah 🙏😔",3
58,Vina Cia,"Game ini sebenarnya bagus banget tapi jaringannya entah knp gk pernah stabil sejak update di foutaine, tolong dong diperbaiki supaya lebih stabil. Wi-Fi ku gk bermasalah cuma kalau main di genshin doang yang bermasalah 😭😭",4
59,Nasorudin Hegara,"Ukuran game yang terlalu besar untuk sebuah handphone. Saya tau ini adalah mahakarya dari developer yang menyajikan game santai berlatar dunia yang luas, tetapi data yang digunakan cukup besar sehingga menekan kalangan player device menengah. Kalau memang pasarnya untuk kalangan atas tidak apa apa, tapi kalau mau mengincar pasar yang lebih luas lagi bisa melakukan pengurangan ukuran file dengan fitur penghapusan data quest atau animasi yg tidak diperlukan oleh player.",3
60,Aqilah Nur Shofiyyah,"update genshin kenapa keubah-ubah sih penyimpanannya pls,pas update tadinya 4gb masih berjalan tiba²pas di cek lagi berubah jadi 8 gb huhu mo nangis banget. SEMOGA HOYO DI KASIH PENCERAHAN DARI TUHAN YME🙂🙂",4
61,Rizky Luxszerr,"Spek hp memadai, update kali ini cepet size cuma 5gb, tapi kenapa mengkompilasi shadernya lama sekali sampai 1 jam dan agak ngelag gitu padahal sebelumnya buat main enjoy aja, anehh",1
62,Albert Sentosa,"Saya cukup kecewa berat dengan Genshin Impact sekarang. Sistem datanya tidak sesuai dengan apa yang diberi tahukan. Diberitahukan untuk update patch 4.0 membutuhkan data sebesar 10gb lebih. Setelah sekian lama saya menunggu, saya update dan sudah menghabiskan 10gb tersebut. Tetapi disaat saya ingin membuka game dan bermain, diharuskan mendownload data lagi sebesar 17gb lebih lagi. Setelah saya cek lagi juga ternyata 10gb yang tadi juga sudah ada di data saya. Kenapa harus download 17gb+data lagi",1
63,Rifa,"Game nya gak ngebosenin, ditambah lagi grafiknya yg luar biasa keren, sejauh ini ini yg paling isekai. Tapi menurut aku, terlalu ribet dan agak susah kalo mau lanjutin quest harus naikin level advanture nya. Yg jadi masalah buat aku itu, jarak antar level advanture dari quest satu ke quest lainnya itu terlalu jauh. Setidaknya kasih beda 2 atau 3 level aja. Lah ini ada quest yg sampe beda 5 level dari sebelumnya. Jujur aku agak malas naikin level advanture nya...",5
64,Michael Setiawan,"Bagus, grafiknya mantap, karakternya juga cakep cakep skill yang bagus animasinya juga bagus, semoga developernya mengembangkan skip dialog soalnya dialog dialognya terlalu panjang dan sulit dicerna apalagi bahasa indo yang pake istilah kurang berkenan juga tentang memori internal yang besar bagi game ini sebaiknya lebih dikurangi agar tidak membuat hp ngeframe. Tapi overall semuanya bagus sih jadi saya kasi bintang 5",5
65,Hudan Kurnia,"Tentunya game dengan genre RPG dan pembuatan karakter seperti dalam cerita Anime membuat kita semakin mencintai karakter yang ada dalam game tersebut.. Namun selain itu misi yang membuat kita harus berfikir juga merupakan hal yang menarik. Game yang telah memenangkan banyak penghargaan juga,game terbaik yang pernah ada",5
66,Gen Story,"dari grafik sih udah bagus tapi dari even itu yang kurang kadang ada even yang meyelesain kannya sampai 10 menittan dan hadiah nya gk seberapa paling 80 primogems jadi mohon di sesuaikan, beda baget dari game mihoyo yang lainnya",2
67,Nama Depan,"Masalah grafik dan gameplay udh thebest, tinggal di kasih teman aja klo lagi jalan² petualangan agar GK bosan sendirian mulu atau pas lagi misi di kasih teman untuk bertarung lawan musuhnya, maksudnya bukan teman co-op online tapi cpu yang dari misinya contoh seperti game aether gazer.",5
68,Reinhard,"Game yang bagus dari story quest sama grafik sangat memanjakan mata buat game seukuran 20 an GB, kendala mungkin di bagian mencari item tertentu yang cukup ribet mohon Hoyoverse membuat alat untuk mencari Geoculus atau item semacamx biar menghemat waktu Overall semua bagus aku kasih bintang 5",5
69,Safitri Yulaikhah,"Tolong permudah dalam login di perangkat baru, verifikasi 2 langkah dengan menggunakan email justru mempersulit saya dalam login karena akun email saya bermasalah. Cukup dengan menggunakan fb saja tidak perlu email:)",3
70,Cantika Divia,"Overall bagus, tapi ada satu yg kurang yaitu sistem keamanannya. Banyak bgt org yg akunnya ke hack dan banyak jg yg memakai cheat. Mohon kedepannya sistem keamanannya ditingkatkan lagi",4
71,Lele Boy,"Satu²nya game yang paling gw rekom buat yang doyan sama game mmorpg, but kekurangannya menurut gw sih... Hmm mungkin harus diadain event khusus buat player baru, biar tambah minat soalnya semua serba susah... Btw gw juga baru main sih, udah 5 kali gacha tapi dapetnya ampas... Mana ngumpulin primogemnya lama lagi:v Tapi gamenya bagus kok, tq",4
72,Nabil Naufal,"Overall game semua bagus sih, tapi masih ada yg kurang setiap spirall abyss jaringan suka merah terus disconnect, dan mengulang lagi abyss dari lantai 1 itu aja sih yg membuat aga kesal, tolong mohoyo untuk kedepannya semoga kalo kita try hard di abyss tidak mengulang lagi dari lantai 1 terimakasih",5
73,Hayu Gardu,"Gamenya bagus tapi saat saya ingin login tiba"" ada tulisan jaringan anda error, padhal saya menggunakan wifi dan wifi saya baik"" saja tidak ada error""nya, klo bisa di kondisikan lagi..",3
74,Nayy Paxly,"game nya keren banget, dari grafik, quest yang di kerjakan, story, dan hadiah hadiah nya bagus bagus dan kata gw ga terlalu pelit sihh. ya wajar gitu game nya berat, emang sebagus itu!!!! pokok nya sukaaaa",5
75,Inaayah Olivia,"Kukira game nya bisa bikin healing dan nenangin diri dari semua masalah karna santai dan pemandangan yang indah, ternyata setelah saya mainkan game ini, itu membuat saya semakin stress karna quest dunia dan kalah rate off 😁😁, tapi gapapa aku suka bgt sama game ini kok hwhwhw",5
76,Muhammad Nur adnan,"😭😭😭sedih sekali gak dapat tartaglia dan zhongli, apalagi moraku udah dikit, primogremnya juga susah didapat, gachanya hanya karakter yang udah kumiliki, serta quest storynya udah hampir selesai semua. Gak bisakah beri kesempatan buat menambah semua item yang kubutuhkan kah? Aku ingin sekali acara itu tiba lebih awal dan ingin memainkannya. Dan berharap gacha karakter barunya bisa lebih dipermudahkan lagi tolong. Aku sangat ingin menambah hero baru dan lebih ingin melimpahkan item nya🙏🙏🙏",2
77,abdul dudul,"Aku suka game ini, open world yang luas, gacha nya yang pelit sehingga gamenya menjadi menantang, dan event yang selalu ramai primogem. Semoga hoyoverse tetap melakukan konsep yang seperti ini. Dan ditunggu updatenyaa <3",5
78,Deby Andriawan,"Untuk sekarang kasih bintang 3 dulu, kalau sudah support gamepad buat perangkat Android, update dengan ukuran yang lebih sederhana (gak sampai puluhan giga), baru kasih bintang 5. Catat ya wahai developer tercinta... Game mu udah bagus... 👍👍",3
79,Ampuh Chrystian,"Game nya super duper keren, realistis dan karakter nya beragama dan bagus bagus, tapi meskipun begitu, ada beberapa karakter yang lumayan kurang di minati, jadi saya berharap di versi berikut nya karakter nya bagus bagus dan wort it untuk di gacha",5
80,Hotaruu,"Menurutku game nya bagus, design karakter, voice actor nya bagus² semuaa!, gameplay nya juga suka kayak lebih menyatu dengan alam gitu, animasi nya juga gak kalah keren!",5
81,Pecinta Loli,"gamenya bagus, quest sama jalan cerita yang gak ada endingnya juga lumayan. pantesan aja para sepuh jarang keluar kamar. buat yang kasih rating rendah dan bilang ini game berat dsb, ini emang game pc dan ukurannya memang gak bisa dibilang kecil jadi gak disaranin buat hp mu yang spek ubi ya. jadi kalau mau main aman ya siapin pola pikirmu dan penyimpanan ya.",5
82,Munawaroh Munawaroh,"Game nya bagus karna game nya realistis ya gitu deh sebenarnya makin bagus lagi kalo ada guest yg serasa jadi mata mata gitu kalo bisa aja sih tapi game nya emang bagus bgt sih serasa berpetualang beneran walau cuma game tapi bisa bikin berpengalaman, tapi kok gak ada karakter yg ultah nya sama kaya aku soalnya ultah ku 29 februari kalo ada yg sama pasti ku spin sih, tapi kalo bisa di ending game nya dikasih pilihan buat milih karakter pendamping buat nemenin traveler nya buat mc cwk/cwk",5
83,Adinda Restu utami,"Grafiknya bangus banget dan karakternya juga unik dan lumayan mempesona, ceritanya menarik banget dan seru tapi cara memenangkan karakter utamanya agak susah dan bisa di bilang lumayan sulit, tapi tetap game yg paling seru!",5
84,Hotimah Hanun,"Game nya bagus dan grafiknya bagusss poll,cuman minusnya kalo bisa tolong di bagian unduh datanya jangan terlalu besar ukurannya karena itu yang bikin lama unduh datanya,sudah itu saja sih pendapat sama saran aku",5
85,Player Amatir,"Untuk gamenya udah parti seru banget. Tapi saya punya keluhan untuk update datanya. Pendownload'an stack di 86% gk bisa maju lagi,saya sudah tunggu sampai 2 jam dan hasilnya masih stack di 86%. Kalo sudah lancar lagi saya naikin lagi bintang nya jadi 5 bintang",5
86,eksa 78 gaming,"kalo bisa tambahin fitur layout untuk memindahkan tombol attack elemtal skill burst skill dll, agar lebih bisa menyesuaikan pengguna dan tidak salah pencet, seperti dogde yg terlalu dekat dengan attack 🗿",3
